一级,二级,三级,四级,五级,可能耐药的药,能克服或绕开的药物/方向,患者人数量级,全球药物市场空间,代表药物 / 公司
实体瘤,神经肿瘤,胶质母细胞瘤 GBM（IDH野生型）,PTEN缺失/PI3K通路激活,替莫唑胺/放疗,PI3K抑制剂（如pictilisib）,PI3K/mTOR抑制剂+PARP抑制剂联合; 免疫检查点抑制剂; 抗血管生成,全球年新发约30万人；美国年新发约1.4万人,约2-3亿美元,Pictilisib（罗氏）; buparlisib（诺华）; bevacizumab（罗氏）
实体瘤,神经肿瘤,胶质母细胞瘤 GBM（IDH野生型）,TERT启动子突变/CDKN2A缺失,标准治疗,CDK4/6抑制剂（palbociclib）,CDK4/6+CDK2抑制剂联合; 免疫治疗; 电场治疗联合,全球年新发约30万人；美国年新发约1.4万人,约2-3亿美元,Palbociclib（辉瑞）; abemaciclib（礼来）; Optune（Novocure）
实体瘤,神经肿瘤,低级别胶质瘤 LGG（IDH突变型）,IDH1 R132H突变（星形细胞瘤/少突胶质细胞瘤）,观察等待/手术+放疗,Vorasidenib（IDH1/IDH2双抑制剂）,Vorasidenib（INDIGO试验，2024 FDA批准）; 手术+放疗+TMZ; IDH疫苗（在研）,全球年新发约30万人；美国年新发约1.4万人,约10-15亿美元,Vorasidenib（Servier/Agios）; ivosidenib（Servier）; temozolomide（默沙东）
实体瘤,神经肿瘤,低级别胶质瘤 LGG（IDH突变型）,IDH1/2突变伴1p/19q共缺失（少突胶质细胞瘤）,PCV化疗（丙卡巴肼+洛莫司汀+长春新碱）,Vorasidenib; PCV方案,Vorasidenib+放疗; 免疫检查点抑制剂; IDH靶向疫苗,全球年新发约30万人；美国年新发约1.4万人,约5-8亿美元,Vorasidenib（Servier）; PCV方案（多种仿制药）
实体瘤,神经肿瘤,低级别胶质瘤 LGG（IDH突变型）,IDH抑制剂耐药（2-HG非依赖机制）,Vorasidenib,下一代IDH抑制剂（如olutasidenib）; IDH PROTAC降解剂,化疗; 放疗; 免疫治疗联合; IDH1 R132H靶向疫苗,全球年新发约30万人；美国年新发约1.4万人,约1-2亿美元,Olutasidenib（Rigel）; IDH PROTAC（Servier在研）
实体瘤,神经肿瘤,弥漫性中线胶质瘤 DMG,H3K27M突变（儿童/青年）,放疗（无有效系统治疗）,ONC201（dopamine受体拮抗剂，H3K27M靶向）,ONC201联合放疗; CAR-T（GD2靶向）; 组蛋白去甲基化酶抑制剂; paxalisib（PI3K抑制剂）,全球年新发约1-2万人；美国年新发约1000-1500人,约1-3亿美元,ONC201（Chimerix）; paxalisib（Kazia）; GD2 CAR-T（在研）
实体瘤,神经肿瘤,弥漫性中线胶质瘤 DMG,H3K27M突变+TP53突变/ACVR1突变,放疗,ONC201,ONC201+TP53激活剂（如APR-246）; ACVR1抑制剂; 联合放疗,全球年新发约1-2万人；美国年新发约1000-1500人,约0.5-1亿美元,ONC201（Chimerix）; APR-246（Aprea Therapeutics）; ACVR1抑制剂（在研）
实体瘤,内分泌肿瘤,胃肠胰神经内分泌肿瘤 GEP-NET,SSTR阳性（G1/G2，高分化）,化疗（效果有限）,生长抑素类似物（SSA：奥曲肽/兰瑞肽）; PRRT（Lutathera）,Lutathera（177Lu-DOTATATE）一线; 奥曲肽+PRRT; 兰瑞肽（CAM2029在研）,全球年新发约8-10万人；美国年新发约1.2万人,约25-35亿美元,Lutathera（诺华/AAA）; Somatuline（兰瑞肽，益普生）; Sandostatin（奥曲肽，诺华）
实体瘤,内分泌肿瘤,胃肠胰神经内分泌肿瘤 GEP-NET,SSTR阳性+PD-L1表达,SSA单药,SSA+免疫检查点抑制剂（在研）,PRRT+免疫联合; SSA+PD-1/PD-L1; ITM-11（177Lu-edotreotide）,全球年新发约8-10万人；美国年新发约1.2万人,约5-8亿美元,Lutathera（诺华）; ITM-11（ITM Isotope）; nivolumab（BMS）; pembrolizumab（默沙东）
实体瘤,内分泌肿瘤,胃肠胰神经内分泌肿瘤 GEP-NET,SSTR阴性/PRRT进展（G2/G3）,PRRT/SSA,mTOR抑制剂（依维莫司）; TKI（舒尼替尼）,Cabozantinib（抗血管生成）; 免疫治疗; 177Lu-DOTATATE再挑战; 化疗（FOLFOX/CAPOX）,全球年新发约8-10万人；美国年新发约1.2万人,约8-12亿美元,Afinitor（依维莫司，诺华）; Sutent（舒尼替尼，辉瑞）; cabozantinib（Exelixis/益普生）
实体瘤,内分泌肿瘤,胃肠胰神经内分泌肿瘤 GEP-NET,G3神经内分泌肿瘤（NEC）,铂类化疗（依托泊苷+顺铂/卡铂）,铂类化疗+免疫检查点抑制剂（在研）,FOLFOX/CAPOX; 免疫+化疗; PRRT（如SSTR阳性）; 靶向治疗（如NTRK/RET融合）,全球年新发约8-10万人；美国年新发约1.2万人,约3-5亿美元,Etoposide+cisplatin（ generics）; pembrolizumab（默沙东）; nivolumab（BMS）
实体瘤,内分泌肿瘤,肺神经内分泌肿瘤,典型/非典型类癌（SSTR阳性）,手术/SSA,PRRT（Lutathera，如SSTR阳性）; SSA,Lutathera（扩展适应症）; 免疫检查点抑制剂; 化疗; 抗血管生成TKI,全球年新发约3-4万人；美国年新发约3000-5000人,约3-5亿美元,Lutathera（诺华）; Sandostatin（诺华）; nivolumab（BMS）
实体瘤,内分泌肿瘤,肺神经内分泌肿瘤,小细胞肺癌 SCLC（高级别NEC）,铂类+依托泊苷,免疫+化疗（atezolizumab/durvalumab+化疗）,DLL3靶向（tarlatamab/delta-like ligand 3）; TROP2 ADC（sacituzumab govitecan）; lurbinectedin,全球年新发约25万人；美国年新发约3.5万人,约20-30亿美元,Tecentriq（atezolizumab，罗氏）; Imfinzi（durvalumab，阿斯利康）; tarlatamab（安进）; lurbinectedin（Jazz/PharmaMar）
实体瘤,内分泌肿瘤,嗜铬细胞瘤/副神经节瘤,SDHx突变（SDHB/SDHC/SDHD）,手术/化疗（效果差）,177Lu-MIBG（Azedra）; SSA（控制症状）,PRRT; 免疫治疗（在研）; 抗血管生成TKI; HIF-2α抑制剂（belzutifan）,全球年新发约0.5-1万人；美国年新发约500-1000人,约1-2亿美元,Azedra（177Lu-iobenguane，Progenics/诺华）; belzutifan（默沙东/Welireg）
实体瘤,肉瘤,胃肠道间质瘤 GIST,KIT外显子11突变（最常见）,伊马替尼（一线）,伊马替尼（Imatinib）,Sunitinib（二线）; regorafenib（三线）; ripretinib（四线，KIT/PDGFRA开关口袋抑制剂）; avapritinib（活化环突变）,全球年新发约1-2万人；美国年新发约4000-6000人,约8-12亿美元,Imatinib（诺华）; sunitinib（辉瑞）; regorafenib（拜耳）; ripretinib（Deciphera/再鼎）; avapritinib（Blueprint Medicines）
实体瘤,肉瘤,胃肠道间质瘤 GIST,KIT外显子9/13/17突变（伊马替尼耐药）,伊马替尼,Sunitinib（舒尼替尼）; regorafenib,Avapritinib（PDGFRA D842V/活化环突变）; ripretinib（广谱KIT抑制）; 在研新型KIT抑制剂（如DCC-2618）,全球年新发约1-2万人；美国年新发约4000-6000人,约3-5亿美元,Sunitinib（辉瑞）; regorafenib（拜耳）; avapritinib（Blueprint）; ripretinib（Deciphera）
实体瘤,肉瘤,胃肠道间质瘤 GIST,PDGFRA D842V突变（活化环，伊马替尼耐药）,伊马替尼/舒尼替尼/瑞戈非尼,Avapritinib（高选择性PDGFRA/KIT抑制剂）,Avapritinib（NAVIGATOR试验，首个获批D842V靶向药）; ripretinib; crenolanib（在研）,全球年新发约1-2万人；美国年新发约4000-6000人,约2-3亿美元,Avapritinib（Blueprint Medicines）; ripretinib（Deciphera）; crenolanib（Arog Pharmaceuticals）
实体瘤,肉瘤,胃肠道间质瘤 GIST,KIT/PDGFRA野生型（SDH缺陷/NTRK融合）,伊马替尼（无效）,NTRK抑制剂（如NTRK融合）; 免疫检查点抑制剂（如SDH缺陷）,Larotrectinib/entrectinib（NTRK融合）; nivolumab（SDH缺陷型，PD-1敏感）; HIF-2α抑制剂（SDH缺陷型）,全球年新发约1-2万人；美国年新发约4000-6000人,约1-2亿美元,Larotrectinib（拜耳）; entrectinib（罗氏）; nivolumab（BMS）; belzutifan（默沙东）
实体瘤,肉瘤,胃肠道间质瘤 GIST,四线及以上进展（KIT/PDGFRA多重耐药）,伊马替尼/舒尼替尼/瑞戈非尼/ripretinib,Ripretinib（广谱KIT/PDGFRA开关口袋抑制剂）,Avapritinib（切换类型）; 新型PROTAC/降解剂; 免疫治疗; 联合靶向,全球年新发约1-2万人；美国年新发约4000-6000人,约1-2亿美元,Ripretinib（Deciphera/再鼎）; avapritinib（Blueprint）; 在研PROTAC
实体瘤,肉瘤,软组织肉瘤 STS（多亚型）,多形性未分化肉瘤 UPS/脂肪肉瘤 LPS,蒽环类化疗（多柔比星）,Trabectedin（曲贝替定）; eribulin（艾日布林）; 免疫治疗,Eribulin（艾日布林，脂肪肉瘤）; 免疫+化疗联合; 新型抗血管生成TKI; T细胞疗法（TCR-T在研）,全球年新发约5万人；美国年新发约1.3万人,约8-12亿美元,Doxorubicin（ generics）; trabectedin（Jazz/PharmaMar）; eribulin（卫材）
实体瘤,肉瘤,软组织肉瘤 STS,滑膜肉瘤/黏液样圆细胞脂肪肉瘤,化疗,Tazemetostat（EZH2抑制剂，INI1/SMARCB1缺失）,Tazemetostat（上皮样肉瘤/滤泡淋巴瘤扩展）; 免疫治疗; 在研TCR-T（滑膜肉瘤NY-ESO-1靶向）,全球年新发约5万人；美国年新发约1.3万人,约2-3亿美元,Tazemetostat（Epizyme/益普生）; letetresgene autoleucel（TCR-T，Adaptimmune）
实体瘤,肉瘤,软组织肉瘤 STS,血管肉瘤/恶性周围神经鞘膜瘤,化疗,Pazopanib（帕唑帕尼，多靶点TKI）,Pazopanib+免疫; 抗VEGF; 新型免疫联合; 在研CDK4/6抑制剂,全球年新发约5万人；美国年新发约1.3万人,约1-2亿美元,Pazopanib（诺华）; bevacizumab（罗氏）; nivolumab（BMS）
实体瘤,肉瘤,骨肿瘤,骨肉瘤 Osteosarcoma,大剂量甲氨蝶呤+多柔比星+顺铂（MAP方案）,MAP化疗; 手术切除,mifamurtide（免疫刺激剂）; 免疫检查点抑制剂（在研）; 靶向治疗（如HER2+骨肉瘤用曲妥珠单抗）; 在研HALMB-0168（AlaMab/CSPC）,全球年新发约0.8-1万人；美国年新发约1000人,约3-5亿美元,Methotrexate+doxorubicin+cisplatin（ generics）; mifamurtide（Takeda）; trastuzumab（罗氏）
实体瘤,肉瘤,骨肿瘤,尤文肉瘤 Ewing Sarcoma,化疗（VAC/IE方案）,化疗+放疗+手术,高剂量异环磷酰胺（rEECur方案，2024新标准）; 免疫治疗（在研）; 靶向IGF-1R（如ganitumab）,全球年新发约0.3万人；美国年新发约200人,约1-2亿美元,Cyclophosphamide+doxorubicin+vincristine（ generics）; ifosfamide+etoposide（ generics）; ganitumab（在研）
实体瘤,肉瘤,骨肿瘤,软骨肉瘤 Chondrosarcoma,手术（化疗不敏感）,Ivosidenib（IDH1抑制剂，常规软骨肉瘤）,Ivosidenib（NCCN推荐，非FDA标签）; 化疗（去分化型）; 免疫检查点抑制剂（去分化型）; mTOR抑制剂,全球年新发约0.5万人；美国年新发约500人,约1-2亿美元,Ivosidenib（Servier）; everolimus（诺华）; nivolumab（BMS）
实体瘤,肉瘤,骨肿瘤,骨巨细胞瘤 GCTB,手术（刮除+填充）,Denosumab（地舒单抗，RANKL抑制剂）,Denosumab（FDA 2013批准）; 手术; 在研改良方案,全球年新发约0.2-0.3万人；美国年新发约200-300人,约1-2亿美元,Denosumab（安进）; bisphosphonates（ generics）
实体瘤,骨转移,实体瘤骨转移（通用）,破骨细胞介导骨破坏（RANKL依赖）,双膦酸盐（唑来膦酸）,Denosumab（地舒单抗，RANKL单抗）; 双膦酸盐,Denosumab（优于双膦酸盐，延迟SRE）; 骨保护剂长期维持; 在研骨靶向放疗,全球年新发约150-200万人；美国年新发约30-40万人,约50-70亿美元,Denosumab（安进）; zoledronic acid（诺华）; pamidronate（ generics）
实体瘤,骨转移,前列腺癌骨转移（成骨性）,骨微环境+雄激素信号,双膦酸盐/地舒单抗,Radium-223（Xofigo，α粒子发射体）; enzalutamide/abiraterone,Radium-223+enzalutamide（PEACE-3，2024+OS获益）; 177Lu-PSMA（Pluvicto，mCRPC）; 骨保护剂（地舒单抗）,全球年新发约150-200万人；美国年新发约30-40万人,约25-35亿美元,Xofigo（Radium-223，拜耳）; Pluvicto（177Lu-PSMA，诺华）; Xtandi（enzalutamide，辉瑞/安斯泰来）; Zytiga（abiraterone，杨森）
实体瘤,骨转移,前列腺癌骨转移（成骨性）,Radium-223+阿比特龙（ERA-223骨折风险）,Radium-223+阿比特龙（不推荐）,Radium-223+enzalutamide（PEACE-3，联合骨保护剂）,Radium-223+enzalutamide+denosumab; 177Lu-PSMA序贯; PARP抑制剂（HRR突变）,全球年新发约150-200万人；美国年新发约30-40万人,约15-20亿美元,Xofigo（拜耳）; Xtandi（辉瑞/安斯泰来）; denosumab（安进）
实体瘤,骨转移,乳腺癌骨转移（溶骨性）,RANKL/OPG失衡+激素信号,双膦酸盐/地舒单抗,Denosumab（延迟SRE优于唑来膦酸）; 骨修饰药物,Denosumab+内分泌/化疗; 骨靶向放疗（如Samarium-153）; 在研骨转移靶向ADC,全球年新发约150-200万人；美国年新发约30-40万人,约15-20亿美元,Denosumab（安进）; zoledronic acid（诺华）; 在研骨转移ADC（多家）
实体瘤,骨转移,肺癌骨转移（混合性）,RANKL+EGFR/ALK驱动,双膦酸盐/地舒单抗+系统治疗,Denosumab+靶向/免疫/化疗,Denosumab+osimertinib（EGFRm NSCLC骨转移）; 免疫+骨保护剂; 局部放疗（SBRT）,全球年新发约150-200万人；美国年新发约30-40万人,约10-15亿美元,Denosumab（安进）; zoledronic acid（诺华）; osimertinib（阿斯利康）; pembrolizumab（默沙东）
实体瘤,骨转移,多发性骨转移伴高钙血症,破骨细胞过度活化,双膦酸盐,Denosumab（更优，尤其肾功能不全）; 唑来膦酸（快速降钙）,Denosumab长期维持; 水化+利尿; 降钙素; 针对原发肿瘤的系统治疗,全球年新发约150-200万人；美国年新发约30-40万人,约5-8亿美元,Denosumab（安进）; zoledronic acid（诺华）; calcitonin（ generics）
