一级,二级,三级,四级,五级,可能耐药的药,能克服或绕开的药物/方向,患者人数量级,全球药物市场空间,代表药物 / 公司
实体瘤,肺癌,NSCLC 非小细胞肺癌,KRAS G12C 突变,KRAS G12C抑制剂耐药后（继发突变）,Sotorasib；Adagrasib；Fulzerasib,Divarasib（下一代高活性）；Adagrasib+西妥昔单抗（CRC方案借鉴）；化疗±免疫；RMC-6236（泛RAS抑制剂）,全球年新发约25-30万人；美国年新发约5-6万人,约15-25亿美元,Divarasib/罗氏；RMC-6236/Revolution Medicines；Adagrasib/BMS
实体瘤,肺癌,NSCLC 非小细胞肺癌,BRAF V600E 突变,初治/经治,传统化疗；免疫治疗（单药疗效有限）,Dabrafenib+Trametinib（BRAF+MEK）；Encorafenib+Binimetinib；达拉非尼+曲美替尼,全球年新发约2-4万人；美国年新发约4000-8000人,约3-5亿美元,Dabrafenib+Trametinib/诺华；Encorafenib+Binimetinib/Pfizer/Array
实体瘤,肺癌,NSCLC 非小细胞肺癌,MET 14外显子跳跃突变,初治一线,传统化疗（MET抑制剂上市前）,Tepotinib（Tepmetko）；Capmatinib（Tabrecta）；Savolitinib；谷美替尼（Gumarontinib）；伯瑞替尼（Vebreltinib）,全球年新发约7-10万人；美国年新发约1.5-2万人,约8-12亿美元,Tepotinib/默克；Capmatinib/诺华；Savolitinib/阿斯利康；谷美替尼/海和药物；伯瑞替尼/浦润康
实体瘤,肺癌,NSCLC 非小细胞肺癌,MET 14外显子跳跃突变,MET-TKI耐药（D1228N等继发突变）,Tepotinib；Capmatinib；克唑替尼,Cabozantinib（卡博替尼，多靶点）；化疗；Amivantamab（MET+EGFR双抗）；Telisotuzumab vedotin（MET-ADC）,全球年新发约7-10万人；美国年新发约1.5-2万人,约8-12亿美元,Cabozantinib/Exelixis；Amivantamab/强生；Telisotuzumab/艾伯维
实体瘤,肺癌,NSCLC 非小细胞肺癌,RET 融合重排,初治一线,传统化疗；免疫治疗（单药疗效有限）,Selpercatinib（Retevmo）；Pralsetinib（Gavreto）；塞普替尼；普拉替尼,全球年新发约2-4万人；美国年新发约4000-8000人,约3-5亿美元,Selpercatinib/礼来；Pralsetinib/Blueprint-罗氏；塞普替尼/信达
实体瘤,肺癌,NSCLC 非小细胞肺癌,RET 融合重排,RET-TKI耐药（溶剂前沿突变）,Selpercatinib；Pralsetinib,化疗±免疫；LOXO-260（下一代RET抑制剂，临床试验）；卡博替尼；凡德他尼,全球年新发约2-4万人；美国年新发约4000-8000人,约3-5亿美元,LOXO-260/礼来；卡博替尼/Exelixis
实体瘤,肺癌,NSCLC 非小细胞肺癌,NTRK 融合（NTRK1/2/3）,初治/经治（泛癌种适应症）,传统化疗,Larotrectinib（Vitrakvi）；Entrectinib（Rozlytrek）；Repotrectinib,全球年新发约0.5-1万人（NSCLC中<1%）；美国年新发约1000-2000人,约2-4亿美元（含泛癌种）,Larotrectinib/拜耳；Entrectinib/罗氏；Repotrectinib/再鼎
实体瘤,肺癌,NSCLC 非小细胞肺癌,NTRK 融合（NTRK1/2/3）,TRK抑制剂耐药（溶剂前沿突变）,Larotrectinib；Entrectinib,Repotrectinib（针对TRK溶剂前沿突变）；Selitrectinib；LOXO-195；化疗,全球年新发约0.5-1万人；美国年新发约1000-2000人,约2-4亿美元,Repotrectinib/再鼎；Selitrectinib/拜耳；LOXO-195/礼来
实体瘤,肺癌,NSCLC 非小细胞肺癌,HER2 突变（ERBB2）,初治/经治,传统化疗；免疫治疗（单药疗效有限）,"Trastuzumab Deruxtecan（T-DXd, Enhertu）；HER2-TKI（Poziotinib, Neratinib）",全球年新发约4-8万人；美国年新发约8000-1.5万人,约8-15亿美元,T-DXd/第一三共-阿斯利康；Poziotinib/ Spectrum；Neratinib/辉瑞
实体瘤,肺癌,NSCLC 非小细胞肺癌,HER2 突变（ERBB2）,T-DXd耐药后,T-DXd；Poziotinib；化疗,HER3-ADC（Patritumab Deruxtecan）；化疗；免疫联合；临床试验,全球年新发约4-8万人；美国年新发约8000-1.5万人,约8-15亿美元,Patritumab Deruxtecan/第一三共-默沙东；T-DXd/第一三共-阿斯利康
实体瘤,肺癌,NSCLC 非小细胞肺癌,PD-L1高表达（≥50%）无驱动基因,初治一线,传统化疗,Pembrolizumab（Keytruda）单药；Cemiplimab（Libtayo）单药；Pembrolizumab+化疗（非鳞癌）,全球年新发约50-60万人；美国年新发约10-12万人,约150-200亿美元（PD-L1表达NSCLC在7MM市场）,Pembrolizumab/默沙东；Cemiplimab/赛诺菲-再生元；Nivolumab/BMS；Atezolizumab/罗氏
实体瘤,肺癌,NSCLC 非小细胞肺癌,PD-L1中低表达（1-49%）无驱动基因,初治一线,化疗单药,Pembrolizumab+化疗；Atezolizumab+化疗+贝伐（非鳞）；Nivolumab+化疗；Cemiplimab+化疗；Sintilimab+化疗,全球年新发约30-40万人；美国年新发约6-8万人,约150-200亿美元,Pembrolizumab/默沙东；Atezolizumab/罗氏；Nivolumab/BMS；Sintilimab/信达
实体瘤,肺癌,NSCLC 非小细胞肺癌,PD-L1阴性（<1%）无驱动基因,初治一线,免疫单药（疗效有限）,Pembrolizumab+化疗；Nivolumab+化疗；Atezolizumab+化疗；Tislelizumab+化疗；Camrelizumab+化疗,全球年新发约20-30万人；美国年新发约4-6万人,约150-200亿美元,Pembrolizumab/默沙东；Nivolumab/BMS；Atezolizumab/罗氏；Tislelizumab/百济神州；Camrelizumab/恒瑞
实体瘤,肺癌,NSCLC 非小细胞肺癌,无驱动基因/免疫治疗后进展,免疫耐药后（≥2线）,PD-1/PD-L1单抗（Keytruda/Opdivo/Tecentriq）,"Docetaxel+Ramucirumab（多西他赛+雷莫芦单抗）；ADC药物（TROP2-ADC, HER3-ADC）；化疗±抗血管；Sintilimab+贝伐+化疗（中国）",全球年新发约100-130万人（全部无驱动基因）；美国年新发约20-25万人,约50-80亿美元（后线市场）,Ramucirumab/礼来；TROP2-ADC（Dato-DXd/第一三共-阿斯利康；Sacituzumab govitecan/吉利德）；HER3-ADC/第一三共-默沙东；Sintilimab/信达
实体瘤,肺癌,NSCLC 非小细胞肺癌,鳞状细胞癌（SqNSCLC）无驱动基因,初治一线,化疗单药,Pembrolizumab+化疗（紫杉醇/白蛋白紫杉醇+铂类）；Nivolumab+化疗；Cemiplimab+化疗；Adebrelimab+化疗,全球年新发约60-80万人；美国年新发约12-15万人,约80-100亿美元,Pembrolizumab/默沙东；Nivolumab/BMS；Cemiplimab/赛诺菲；Adebrelimab/恒瑞
实体瘤,肺癌,NSCLC 非小细胞肺癌,鳞状细胞癌（SqNSCLC）无驱动基因,免疫+化疗耐药后,PD-1/PD-L1单抗+化疗,"Docetaxel+Ramucirumab；TROP2-ADC（Dato-DXd, Sacituzumab govitecan）；化疗；Necitumumab+吉西他滨+顺铂（一线替代）",全球年新发约60-80万人；美国年新发约12-15万人,约80-100亿美元,Ramucirumab/礼来；Dato-DXd/第一三共-阿斯利康；Necitumumab/礼来
实体瘤,肺癌,NSCLC 非小细胞肺癌,NRG1 融合,初治/经治,传统化疗；免疫治疗（疗效有限）,Zenocutuzumab（Bizengri，EGFR×HER3双抗，FDA 2024批准）；化疗±免疫；MCLA-129,全球年新发约0.5-1万人；美国年新发约1000-2000人,约1-2亿美元,Zenocutuzumab/Merus；MCLA-129/贝达药业
实体瘤,肺癌,NSCLC 非小细胞肺癌,可手术切除（IB-IIIA期）,围手术期辅助治疗,,奥希替尼辅助（ADAURA研究，IB-IIIA期）；Pembrolizumab辅助（KEYNOTE-091）；Atezolizumab辅助；Chemo±免疫新辅助,全球年新发约20-30万人（可手术）；美国年新发约4-6万人,约30-50亿美元,奥希替尼/阿斯利康；Pembrolizumab/默沙东；Atezolizumab/罗氏；Nivolumab/BMS
实体瘤,肺癌,SCLC 小细胞肺癌,广泛期SCLC（ES-SCLC）,初治一线,传统化疗单药（顺铂+依托泊苷）,Atezolizumab+化疗（IMpower133）；Durvalumab+化疗（CASPIAN）；Pembrolizumab+化疗；Serplulimab+化疗（ASTRUM-005）；AdvanTIG-202,全球年新发约30-35万人；美国年新发约3.5万人,约50-70亿美元,Atezolizumab/罗氏；Durvalumab/阿斯利康；Pembrolizumab/默沙东；Serplulimab/复宏汉霖；Adebrelimab/恒瑞
实体瘤,肺癌,SCLC 小细胞肺癌,广泛期SCLC（ES-SCLC）,一线免疫+化疗后维持,免疫+化疗（标准一线）,Lurbinectedin（Zepzelca）+Atezolizumab维持（IMforte研究，2025 FDA批准）；Durvalumab维持；安慰剂,全球年新发约30-35万人；美国年新发约3.5万人,约50-70亿美元,Lurbinectedin/Jazz制药；Atezolizumab/罗氏；Durvalumab/阿斯利康
实体瘤,肺癌,SCLC 小细胞肺癌,局限期SCLC（LS-SCLC）,同步放化疗后巩固,传统同步放化疗（无免疫巩固）,Durvalumab巩固（ADRIATIC研究，2024 FDA批准）；Atezolizumab巩固；Pembrolizumab巩固；同步放化疗+免疫,全球年新发约10-15万人；美国年新发约1.5万人,约20-30亿美元,Durvalumab/阿斯利康；Atezolizumab/罗氏；Pembrolizumab/默沙东
实体瘤,肺癌,SCLC 小细胞肺癌,复发/难治SCLC（≥2线）,后线治疗,铂类化疗；免疫+化疗,"Tarlatamab（Imdelltra，DLL3×CD3双抗，2024加速批准→2025完全批准）；Lurbinectedin（Zepzelca）；Topotecan；化疗；临床试验（DLL3-ADC, B7-H3-ADC）",全球年新发约20-25万人（复发）；美国年新发约2.5万人,约15-25亿美元,Tarlatamab/安进；Lurbinectedin/Jazz制药；Topotecan/ generic；DLL3-ADC/多家研发
实体瘤,肺癌,SCLC 小细胞肺癌,复发/难治SCLC（≥3线）,Tarlatamab耐药后,Tarlatamab；Lurbinectedin；Topotecan,临床试验（DLL3-ADC如IBI3009；B7-H3-ADC如DS-7300；CD3双抗其他靶点）；化疗；安罗替尼（中国）,全球年新发约20-25万人；美国年新发约2.5万人,约15-25亿美元,IBI3009/信达；DS-7300/第一三共；Tarlatamab/安进；安罗替尼/正大天晴
实体瘤,肺癌,SCLC 小细胞肺癌,转化性SCLC（EGFR-TKI后组织学转化）,转化后治疗,EGFR-TKI（奥希替尼等，组织学转化后耐药）,EP方案化疗（顺铂+依托泊苷）；免疫+化疗；奥希替尼+化疗（部分患者）；DLL3靶向（Tarlatamab）,全球年新发约1-2万人（EGFR-TKI转化）；美国年新发约2000-4000人,约3-5亿美元,Tarlatamab/安进；Atezolizumab/罗氏；Durvalumab/阿斯利康；EP化疗方案
