一级,二级,三级,四级,五级,可能耐药的药,能克服或绕开的药物/方向,患者人数量级,全球药物市场空间,代表药物 / 公司
实体瘤,膀胱癌/尿路上皮癌,转移性尿路上皮癌 mUC,免疫治疗原发性耐药（PD-L1低表达/免疫冷肿瘤）,帕博利珠单抗；阿替利珠单抗；纳武利尤单抗；阿维鲁单抗,PD-1/PD-L1抑制剂,enfortumab vedotin（Nectin-4 ADC）单药；Padcev+帕博利珠单抗（克服冷肿瘤）；FGFR3抑制剂（若为FGFR3突变）；sacituzumab govitecan；化疗,免疫原发耐药占mUC的35-50%；全球约4-7万,约10-20亿美元（免疫耐药后ADC市场）,Padcev/安斯泰来+辉瑞+Seagen；Trodelvy/吉利德；Balversa/强生（FGFR3突变者）；化疗（gemcitabine/carboplatin）
实体瘤,膀胱癌/尿路上皮癌,转移性尿路上皮癌 mUC,免疫治疗获得性耐药（初始有效后进展）,帕博利珠单抗；阿替利珠单抗；纳武利尤单抗,PD-1/PD-L1抑制剂,enfortumab vedotin（Padcev）；Padcev+帕博利珠单抗再挑战；sacituzumab govitecan；LAG-3/PD-1双抗（临床）；TIGIT抑制剂+PD-1（临床）,免疫获得性耐药占mUC的30-40%；全球约3-5万,约10-20亿美元（免疫获得性耐药后市场）,Padcev/安斯泰来+辉瑞+Seagen；Trodelvy/吉利德；Opdualag/百时美施贵宝（LAG-3+PD-1，NSCLC已批，膀胱癌临床）；tiragolumab/罗氏（TIGIT+PD-1，临床）
实体瘤,膀胱癌/尿路上皮癌,转移性尿路上皮癌 mUC,MSI-H/dMMR型,传统化疗；铂类方案,化疗；免疫治疗（非MSI-H筛选）,帕博利珠单抗（MSI-H不限癌种适应症）；dostarlimab；免疫单药疗效极佳（ORR 50-70%）,MSI-H/dMMR在尿路上皮癌中约5-10%；全球约0.5-1.5万,约2-5亿美元（MSI-H mUC免疫治疗市场）,Keytruda/默沙东；Jemperli/葛兰素史克
实体瘤,膀胱癌/尿路上皮癌,非肌层浸润性膀胱癌 NMIBC,BCG灌注失败/不耐受型（高危NMIBC）,卡介苗BCG灌注；膀胱内化疗（丝裂霉素、表柔比星）,BCG；膀胱内化疗,帕博利珠单抗（KEYNOTE-057，FDA批准BCG无反应NMIBC）；Nadofaragene firadenovec（Adstiladrin，基因疗法，FDA批准）；膀胱内厄达替尼（临床）；膀胱切除术,NMIBC占膀胱癌的70-80%；BCG失败/不耐受全球约10-20万人,约5-15亿美元（NMIBC BCG后市场）,Keytruda/默沙东；Adstiladrin/Ferring Pharma；Balversa/强生（膀胱内给药，临床）；BCG/默克（传统）
实体瘤,肾癌,局限性肾细胞癌（I-III期）,透明细胞肾细胞癌 ccRCC（VHL突变驱动）,单纯手术；未行术后辅助靶向治疗,单纯手术（根治性肾切除/部分肾切除）,手术+术后免疫辅助（帕博利珠单抗，KEYNOTE-564，已获FDA批准）；主动监测（小肾癌<3cm）；立体定向放疗（SABR，临床）,局限性肾癌约占肾癌的70-80%；全球约30-35万人；美国约8.1万总新发,约5-15亿美元（术后辅助免疫市场）,Keytruda/默沙东；Sutent/辉瑞（旧标准，已退位）；Opdivo/百时美施贵宝（辅助免疫，CheckMate-914）
实体瘤,肾癌,转移性肾细胞癌 mRCC,透明细胞肾细胞癌 ccRCC（VHL/3p缺失驱动）- IO+TKI一线,单纯靶向治疗（TKI单药）；单纯免疫治疗（IO单药）,舒尼替尼单药；帕唑帕尼单药；索拉非尼单药,免疫+靶向联合：帕博利珠单抗+阿昔替尼（KEYNOTE-426）；帕博利珠单抗+仑伐替尼（CLEAR试验）；卡博替尼+纳武利尤单抗（CheckMate-9ER）；avelumab+阿昔替尼（JAVELIN Renal 101）,mRCC占肾癌的20-30%；全球约10-15万人；美国约2-3万人,约30-50亿美元（mRCC一线联合治疗市场）,Keytruda+Inlyta/默沙东+辉瑞；Opdivo+Cometriq/百时美施贵宝+益普生；Keytruda+Lenvima/默沙东+卫材；Bavencio+Inlyta/默克+辉瑞+辉瑞
实体瘤,肾癌,转移性肾细胞癌 mRCC,透明细胞肾细胞癌 ccRCC（VHL/3p缺失驱动）- IO+IO双免疫一线,单纯靶向治疗；单药免疫治疗,舒尼替尼；帕唑帕尼；索拉非尼,伊匹木单抗+纳武利尤单抗（CheckMate-214，FDA批准；低危/中危人群优选）；纳武利尤单抗+relatlimab（LAG-3，临床）；联合后转TKI维持,适用于中高危mRCC；全球约5-8万中高危ccRCC患者,约15-25亿美元（双免疫一线市场）,Opdivo+Yervoy/百时美施贵宝；Opdivo+Opdualag（relatlimab）/百时美施贵宝；卡博替尼单药（CheckMate-214对照组，后续维持）
实体瘤,肾癌,转移性肾细胞癌 mRCC,ccRCC - TKI一线耐药后（IO+TKI治疗后进展）,舒尼替尼；帕唑帕尼；阿昔替尼；仑伐替尼+依维莫司,VEGFR-TKI（舒尼替尼、帕唑帕尼、阿昔替尼、仑伐替尼）,卡博替尼（二线标准）；免疫再挑战（纳武利尤单抗）；TKI+免疫联合换用（卡博替尼+IO，临床）；HIF-2α抑制剂（belzutifan，VHL相关，临床扩展）,TKI耐药后二线全球约5-10万人,约10-20亿美元（TKI耐药后二线市场）,Cometriq/益普生；Opdivo/百时美施贵宝；Welireg/默沙东（HIF-2α抑制剂，VHL相关ccRCC已批，扩展至非VHL）；Fotivda/Aveo（替沃扎尼）
实体瘤,肾癌,转移性肾细胞癌 mRCC,ccRCC - IO治疗后进展（免疫耐药）,帕博利珠单抗；纳武利尤单抗；伊匹木单抗+纳武利尤单抗；avelumab+阿昔替尼,PD-1/PD-L1抑制剂；CTLA-4抑制剂,TKI单药（卡博替尼、阿昔替尼、仑伐替尼+依维莫司）；mTOR抑制剂（依维莫司）；TKI+mTOR联合（仑伐替尼+依维莫司）；HIF-2α抑制剂（belzutifan）,免疫耐药后全球约3-6万人,约5-15亿美元（免疫耐药后线市场）,Cometriq/益普生；Inlyta/辉瑞；Afinitor/诺华；Lenvima+Afinitor/卫材+诺华；Welireg/默沙东
实体瘤,肾癌,转移性肾细胞癌 mRCC,乳头状肾细胞癌 pRCC（1型/2型）,VEGFR-TKI（舒尼替尼）；免疫治疗（单药IO效果差）,舒尼替尼；帕唑帕尼；纳武利尤单抗（单药）,MET抑制剂（卡博替尼，部分MET驱动者）；沃利替尼（savolitinib，MET抑制剂，1型优选）；帕博利珠单抗+仑伐替尼（探索）；mTOR抑制剂（依维莫司，2型）,乳头状肾癌占肾癌的10-15%；全球约4-7万人,约3-8亿美元（乳头状肾癌靶向市场）,Cometriq/益普生；savolitinib/阿斯利康+和黄医药（中国已批乳头状肾癌）；Afinitor/诺华；Lenvima/卫材
实体瘤,肾癌,转移性肾细胞癌 mRCC,嫌色细胞肾细胞癌 chRCC,VEGFR-TKI；免疫治疗,舒尼替尼；帕唑帕尼；纳武利尤单抗,免疫+TKI联合（帕博利珠单抗+阿昔替尼，探索）；mTOR抑制剂（依维莫司，因PTEN缺失通路相关）；手术切除为主,嫌色细胞肾癌占肾癌的5-7%；全球约2-3万人,约1-3亿美元（嫌色细胞肾癌市场，药物研发有限）,Afinitor/诺华；Keytruda+Inlyta/默沙东+辉瑞（探索性）；Sutent/辉瑞（TKI）
实体瘤,肾癌,转移性肾细胞癌 mRCC,集合管癌/髓质癌（罕见，高度侵袭性）,VEGFR-TKI；免疫治疗（单药效果差）,舒尼替尼；帕唑帕尼；纳武利尤单抗,铂类化疗（类似尿路上皮癌方案，顺铂+吉西他滨）；免疫+化疗联合；卡博替尼（探索）；靶向VEGFR+MET,集合管癌占肾癌的<1%；全球约<1万人,约0.5-1亿美元（罕见亚型，无专属药物）,顺铂+吉西他滨（化疗方案）；Cometriq/益普生（探索）；Opdivo/百时美施贵宝（探索）
实体瘤,肾癌,VHL相关肾细胞癌（遗传性）,VHL突变驱动型（双侧多发ccRCC）,传统VEGFR-TKI；单纯观察,VEGFR-TKI（舒尼替尼、帕唑帕尼）,HIF-2α抑制剂（belzutifan，Welireg，FDA已批准VHL相关ccRCC）；保留肾单位手术（NSS）<3cm；消融治疗；双侧肾切除+透析/移植（>4cm中央肿瘤）,VHL患者约70%伴发肾癌；全球约1-2万VHL相关肾癌患者,约2-5亿美元（VHL相关肾癌市场）,Welireg/默沙东；Sutent/辉瑞；Votrient/诺华；手术为主
实体瘤,肾癌,转移性肾细胞癌 mRCC,ccRCC - mTOR抑制剂（依维莫司）耐药后,依维莫司；替西罗莫司,mTOR抑制剂（依维莫司、替西罗莫司）,卡博替尼（MET/AXL/VEGFR多靶点）；仑伐替尼+依维莫司（RENETOR方案）；免疫治疗再挑战；HIF-2α抑制剂（belzutifan）,mTOR抑制剂后线全球约1-3万人,约2-5亿美元（mTOR耐药后线市场）,Cometriq/益普生；Lenvima+Afinitor/卫材+诺华；Welireg/默沙东；Fotivda/Aveo
实体瘤,肾癌,转移性肾细胞癌 mRCC,ccRCC - IO+IO双免疫（IPI+NIVO）耐药后,伊匹木单抗+纳武利尤单抗；帕博利珠单抗+阿昔替尼,CTLA-4+PD-1双免疫；IO+TKI,TKI单药（卡博替尼、阿昔替尼、仑伐替尼+依维莫司）；mTOR抑制剂；HIF-2α抑制剂（belzutifan）；临床试验（如LAG-3再挑战、TIGIT联合）,双免疫耐药后全球约2-4万人,约3-8亿美元（双免疫耐药后线市场）,Cometriq/益普生；Inlyta/辉瑞；Lenvima+Afinitor/卫材+诺华；Welireg/默沙东；Opdualag/百时美施贵宝（探索再挑战）
实体瘤,肾癌,转移性肾细胞癌 mRCC,肉瘤样/横纹肌样分化型（高度侵袭性）,单纯VEGFR-TKI；单纯免疫治疗,VEGFR-TKI；化疗,免疫+TKI联合（帕博利珠单抗+阿昔替尼，优选）；IO+IO双免疫（纳武利尤单抗+伊匹木单抗）；BAP1/SETD2突变相关的靶向探索（EZH2抑制剂，临床）,肉瘤样分化占肾癌的5-10%；全球约2-5万人,约2-5亿美元（肉瘤样分化肾癌市场）,Keytruda+Inlyta/默沙东+辉瑞；Opdivo+Yervoy/百时美施贵宝；tazemetostat/Ipsen（EZH2抑制剂，探索）；Cometriq/益普生
