一级,二级,三级,四级,五级,可能耐药的药,能克服或绕开的药物/方向,患者人数量级,全球药物市场空间,代表药物 / 公司
实体瘤,妇科肿瘤,卵巢癌（上皮性）,卵巢子宫内膜样癌,MSI-H/dMMR（约20-30%）,铂类化疗耐药,免疫检查点抑制剂（帕博利珠单抗、多斯塔利马单抗dostarlimab）；错配修复缺陷对PD-1/PD-L1高度敏感,子宫内膜样癌占上皮性卵巢癌的10-20%,约3-5亿美元,帕博利珠单抗Merck；多斯塔利马单抗GSK
实体瘤,妇科肿瘤,卵巢癌（上皮性）,卵巢子宫内膜样癌,CTNNB1突变（β-catenin）,内分泌治疗（如ER+）耐药；化疗耐药,WNT/β-catenin通路抑制剂（临床试验）；化疗+靶向联合；孕激素治疗（ER+）,子宫内膜样癌中CTNNB1突变率约30-40%,约1-2亿美元,ICG-001等WNT抑制剂（临床阶段）
实体瘤,妇科肿瘤,卵巢癌（上皮性）,低级别浆液性癌,KRAS/BRAF/ERBB2突变,铂类化疗耐药（低级别浆液性癌对铂不敏感）,MEK抑制剂（曲美替尼+比美替尼，GOG 281/NRG 低级别浆液性癌研究）；BRAF抑制剂（BRAF V600E突变）；抗血管生成；内分泌治疗（ER+）,低级别浆液性癌占上皮性卵巢癌的5-10%,约2-3亿美元,曲美替尼Novartis；比美替尼Array/Pfizer；达拉非尼Novartis
实体瘤,妇科肿瘤,卵巢癌（上皮性）,PARP抑制剂获得性耐药,BRCA回复突变/复制叉稳定/药物外排/SLC19A1缺失,奥拉帕利/尼拉帕利/鲁卡帕利一线/二线维持后复发,铂类再挑战（部分有效）；ATR抑制剂（ceralasertib）+奥拉帕利（CAPRI试验）；WEE1抑制剂；抗血管生成联合；免疫治疗联合；ADC药物,PARPi维持后复发患者占初始PARPi使用者的30-50%,约5-8亿美元（后线耐药市场）,ceralasertib AstraZeneca；WEE1抑制剂Zentalis；贝伐珠单抗Roche
实体瘤,妇科肿瘤,宫颈癌,宫颈鳞状细胞癌（HPV相关）,PD-L1阳性（CPS≥1）复发/转移,化疗+贝伐珠单抗耐药；帕博利珠单抗+化疗+贝伐珠单抗（KEYNOTE-826）进展,帕博利珠单抗+化疗+贝伐珠单抗（一线标准）；西米普利单抗+化疗（EMPOWER-Cervical）；复发后：tisotumab vedotin（TF ADC，innovaTV 301/204）；卡度尼利单抗（PD-1/CTLA-4双抗，中国）,全球年新发约66万人；美国年新发约1.4万人；鳞癌占宫颈癌的85%,约25-35亿美元（宫颈癌药物市场）,帕博利珠单抗Merck；西米普利单抗Regeneron/Sanofi；tisotumab vedotin Genmab/Seagen；贝伐珠单抗Roche；卡度尼利单抗康方生物
实体瘤,妇科肿瘤,宫颈癌,宫颈鳞状细胞癌（HPV相关）,PD-L1阴性（CPS<1）复发/转移,帕博利珠单抗等免疫治疗效果有限；化疗+贝伐珠单抗耐药,tisotumab vedotin（TF ADC，innovaTV 301，全人群获益）；化疗；贝伐珠单抗；抗血管生成TKI；临床试验：双抗、ADC、免疫联合,PD-L1阴性约占复发/转移宫颈癌的30-40%,约8-12亿美元,tisotumab vedotin Genmab/Seagen；贝伐珠单抗Roche；拓扑替康GSK
实体瘤,妇科肿瘤,宫颈癌,宫颈腺癌/腺鳞癌,HER2过表达（IHC 3+或2+，约5-7%）,标准化疗+贝伐珠单抗/免疫治疗耐药,曲妥珠单抗+帕妥珠单抗（borrowed from HER2+乳腺癌）；T-DXd（DESTINY-PanTumor02，HER2表达实体瘤）；RC48-ADC（维迪西妥单抗，荣昌生物）,HER2+宫颈癌占腺癌的5-7%,约1-2亿美元,曲妥珠单抗Roche；T-DXd AstraZeneca/Daiichi Sankyo；维迪西妥单抗荣昌生物
实体瘤,妇科肿瘤,宫颈癌,宫颈腺癌/腺鳞癌,MSI-H/dMMR（约5-10%）,标准化疗耐药,帕博利珠单抗（KEYNOTE-158）；多斯塔利马单抗（GARNET）；免疫治疗对此亚型高度有效,MSI-H占宫颈腺癌的5-10%,约1-2亿美元,帕博利珠单抗Merck；多斯塔利马单抗GSK
实体瘤,妇科肿瘤,宫颈癌,宫颈癌（复发/转移）,组织因子TF高表达,化疗+贝伐珠单抗+免疫治疗进展,tisotumab vedotin（靶向TF的ADC，innovaTV 301确证性III期成功）；联合贝伐珠单抗或免疫治疗探索中,TF在复发宫颈癌中高度表达（>90%）,约5-8亿美元,tisotumab vedotin Genmab/Seagen；贝伐珠单抗Roche
实体瘤,妇科肿瘤,宫颈癌,小细胞神经内分泌宫颈癌,罕见侵袭性亚型,铂类+依托泊苷（一线）快速耐药；预后极差,铂+依托泊苷（一线）；拓扑替康（二线）；免疫治疗（帕博利珠单抗等，借鉴小细胞肺癌）；DLL3靶向（tarlatamab，借鉴SCLC）,占宫颈癌的<2%,约0.5-1亿美元,帕博利珠单抗Merck；tarlatamab Amgen；依托泊苷 generics
实体瘤,妇科肿瘤,子宫内膜癌,POLE超突变型（TCGA）,极高肿瘤突变负荷（TMB）,常规手术+化疗后复发极少（预后极好），但晚期罕见,免疫检查点抑制剂（帕博利珠单抗、多斯塔利马单抗）—因高TMB对免疫高度敏感；如晚期：铂类+紫杉醇化疗,POLE突变占子宫内膜癌的5-15%；全球年新发约42万人；美国年新发约6.6万人,约2-3亿美元（POLE型罕见但免疫敏感）,帕博利珠单抗Merck；多斯塔利马单抗GSK
实体瘤,妇科肿瘤,子宫内膜癌,MSI-H/dMMR型（TCGA）,错配修复缺陷，高TMB,铂类+紫杉醇化疗（一线）耐药；激素治疗（若ER+）耐药,多斯塔利马单抗dostarlimab（GARNET，FDA批准dMMR复发）；帕博利珠单抗+仑伐替尼（KEYNOTE-775，pMMR但部分dMMR也适用）；帕博利珠单抗（MSI-H泛癌种）,MSI-H/dMMR占子宫内膜癌的25-30%,约10-15亿美元,多斯塔利马单抗GSK；帕博利珠单抗Merck；仑伐替尼Eisai
实体瘤,妇科肿瘤,子宫内膜癌,MSI-H/dMMR型（TCGA）,免疫检查点抑制剂耐药（获得性）,多斯塔利马单抗/帕博利珠单抗（dMMR）进展,联合仑伐替尼（KEYNOTE-775模式）；联合化疗（卡铂+紫杉醇）；联合PARP抑制剂（临床探索）；LAG-3/TIGIT等新一代免疫检查点,dMMR复发患者接受免疫治疗后有约20-30%最终进展,约3-5亿美元,仑伐替尼Eisai；帕博利珠单抗Merck；relatlimab BMS
实体瘤,妇科肿瘤,子宫内膜癌,低拷贝数/NSMP型（TCGA）,ER/PR阳性（激素敏感型）,孕激素/芳香化酶抑制剂/他莫昔芬（激素治疗）耐药；CDK4/6抑制剂联合内分泌治疗进展,CDK4/6抑制剂（哌柏西利、瑞波西利）联合芳香化酶抑制剂/氟维司群（临床试验中，借鉴乳腺癌）；联合MEK抑制剂（RAS/RAF通路异常时）；激素治疗再挑战；化疗（卡铂+紫杉醇）,NSMP型占子宫内膜癌的30-50%；约50-70%为ER+,约5-8亿美元,哌柏西利Pfizer；瑞波西利Novartis；阿那曲唑AstraZeneca；氟维司群AstraZeneca
实体瘤,妇科肿瘤,子宫内膜癌,高拷贝数/p53异常型（TCGA）,浆液性/高级别癌，HER2过表达（约25-30%）,卡铂+紫杉醇（一线）耐药；HER2靶向治疗进展,曲妥珠单抗+卡铂+紫杉醇（NRG-GY018/联合方案改善PFS）；T-DXd（HER2表达子宫内膜癌，DESTINY-PanTumor02）；铂类再挑战；贝伐珠单抗联合,p53异常型占子宫内膜癌的5-17%；其中HER2+占浆液性癌的25-30%,约5-8亿美元,曲妥珠单抗Roche；T-DXd AstraZeneca/Daiichi Sankyo；贝伐珠单抗Roche；卡铂 generics
实体瘤,妇科肿瘤,子宫内膜癌,高拷贝数/p53异常型（TCGA）,HER2阴性，p53突变,卡铂+紫杉醇耐药；抗血管生成耐药,仑伐替尼+帕博利珠单抗（KEYNOTE-775，pMMR人群获益，FDA批准）；贝伐珠单抗联合化疗；铂类+紫杉醇再挑战；临床试验：ATR抑制剂、WEE1抑制剂,p53异常型且HER2-约占子宫内膜癌的5-10%,约5-8亿美元,仑伐替尼Eisai；帕博利珠单抗Merck；贝伐珠单抗Roche
实体瘤,妇科肿瘤,子宫内膜癌,子宫内膜癌（复发/转移）,pMMR/MSI-stable，非HER2+,一线化疗+免疫/抗血管生成耐药,仑伐替尼+帕博利珠单抗（KEYNOTE-775，FDA批准pMMR）；T-DXd（DESTINY-PanTumor02，HER2表达可测）；化疗；贝伐珠单抗；临床试验：ADC、双抗、CAR-T,pMMR复发患者约占复发子宫内膜癌的60-70%,约8-12亿美元,仑伐替尼Eisai；帕博利珠单抗Merck；T-DXd AstraZeneca/Daiichi；贝伐珠单抗Roche
实体瘤,妇科肿瘤,子宫内膜癌,Lynch综合征相关子宫内膜癌,dMMR/MSI-H（遗传性）,标准手术+化疗；免疫治疗进展,预防性手术（子宫切除）+免疫治疗；多斯塔利马单抗/帕博利珠单抗；林奇综合征筛查后预防,林奇综合征占全部子宫内膜癌的3%,约1-2亿美元,多斯塔利马单抗GSK；帕博利珠单抗Merck
